Country,Concept,Start_Mean,Start_Std,End_Mean,End_Std
US,Morning,5:02,2:52,10:28,2:51
US,Noon,12:25,2:49,13:04,1:47
US,Afternoon,12:59,2:00,16:00,2:24
US,Evening,16:38,2:04,18:48,3:47
US,Night,18:59,4:13,9:06,9:18
India,Morning,5:07,1:20,10:31,2:23
India,Noon,11:41,1:35,13:13,2:13
India,Afternoon,12:54,2:02,15:53,2:09
India,Evening,16:14,1:43,18:16,3:08
India,Night,16:49,5:15,9:27,7:33
Italy,Morning,5:34,1:14,11:59,1:08
Italy,Noon,11:54,0:21,13:05,0:57
Italy,Afternoon,13:18,0:55,18:04,1:50
Italy,Evening,18:26,0:49,20:22,5:56
Italy,Night,18:22,8:11,5:28,2:43
Brazil,Morning,5:04,1:48,11:45,0:37
Brazil,Noon,11:51,0:25,12:41,1:39
Brazil,Afternoon,12:49,0:45,17:47,1:25
Brazil,Evening,17:31,2:36,16:32,8:34
Brazil,Night,15:16,7:23,8:17,9:28
